FUNC __main__.calc_pure_python 60.6953 1738259976.9284 61.6055 1738259977.9760 0
FUNC __main__.calculate_z_serial_purepython 61.5977 1738259976.9311 61.6055 1738259977.9753 1
CMDLINE C:\Users\patri\AppData\Local\Programs\Python\Python313\python.exe .\JuliaSet.py
MEM 1.574219 1738259976.2417
MEM 17.449219 1738259976.3423
MEM 26.839844 1738259976.4428
MEM 33.300781 1738259976.5437
MEM 38.414062 1738259976.6440
MEM 45.414062 1738259976.7443
MEM 51.226562 1738259976.8454
MEM 61.597656 1738259976.9458
MEM 61.597656 1738259977.0473
MEM 61.597656 1738259977.1480
MEM 61.597656 1738259977.2490
MEM 61.597656 1738259977.3497
MEM 61.597656 1738259977.4504
MEM 61.597656 1738259977.5507
MEM 61.597656 1738259977.6517
MEM 61.597656 1738259977.7524
MEM 61.597656 1738259977.8527
MEM 61.605469 1738259977.9531
