CMDLINE C:\Users\patri\AppData\Local\Programs\Python\Python313\python.exe .\JuliaSet.py
MEM 1.613281 1738257689.7049
MEM 20.144531 1738257689.8053
MEM 30.378906 1738257689.9056
MEM 38.003906 1738257690.0061
MEM 45.558594 1738257690.1064
MEM 55.070312 1738257690.2069
MEM 61.718750 1738257690.3075
MEM 61.718750 1738257690.4086
MEM 61.718750 1738257690.5091
MEM 61.718750 1738257690.6094
MEM 61.718750 1738257690.7102
MEM 61.718750 1738257690.8110
MEM 61.718750 1738257690.9117
MEM 61.718750 1738257691.0130
MEM 61.718750 1738257691.1138
MEM 61.718750 1738257691.2146
MEM 61.726562 1738257691.3153
