FUNC __main__.calc_pure_python 60.8203 1738257717.6606 61.7422 1738257718.7056 0
FUNC __main__.calculate_z_serial_purepython 61.6562 1738257717.6628 61.7422 1738257718.7046 1
CMDLINE C:\Users\patri\AppData\Local\Programs\Python\Python313\python.exe .\JuliaSet.py
MEM 1.558594 1738257716.9067
MEM 16.796875 1738257717.0077
MEM 25.320312 1738257717.1085
MEM 31.550781 1738257717.2095
MEM 36.984375 1738257717.3099
MEM 43.460938 1738257717.4104
MEM 49.660156 1738257717.5110
MEM 55.542969 1738257717.6118
MEM 61.734375 1738257717.7125
MEM 61.734375 1738257717.8135
MEM 61.734375 1738257717.9145
MEM 61.734375 1738257718.0153
MEM 61.734375 1738257718.1163
MEM 61.734375 1738257718.2173
MEM 61.734375 1738257718.3182
MEM 61.734375 1738257718.4192
MEM 61.734375 1738257718.5197
MEM 61.734375 1738257718.6203
MEM 61.761719 1738257718.7208
