FUNC __main__.calc_pure_python 60.6875 1738257710.3326 61.8945 1738257711.3977 0
FUNC __main__.calculate_z_serial_purepython 61.8867 1738257710.3347 61.8945 1738257711.3971 1
CMDLINE C:\Users\patri\AppData\Local\Programs\Python\Python313\python.exe .\JuliaSet.py
MEM 1.593750 1738257709.7810
MEM 20.035156 1738257709.8817
MEM 30.304688 1738257709.9823
MEM 37.867188 1738257710.0829
MEM 45.261719 1738257710.1835
MEM 53.386719 1738257710.2840
MEM 61.886719 1738257710.3849
MEM 61.886719 1738257710.4855
MEM 61.886719 1738257710.5864
MEM 61.886719 1738257710.6870
MEM 61.886719 1738257710.7874
MEM 61.886719 1738257710.8878
MEM 61.886719 1738257710.9883
MEM 61.886719 1738257711.0889
MEM 61.886719 1738257711.1895
MEM 61.886719 1738257711.2905
MEM 61.894531 1738257711.3908
